Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"IMPORTANT....BEWARE!
:warning::small_red_triangle_down::warning::small_red_triangle_down::warning::small_red_triangle_down::warning::small_red_triangle_down:
MEDICAL PPL R TELLING FRIENDS 2 N-O-T TAKE ADVIL, IBUPROFEN IF SYMPTOMS OF #COVID19
Only take Tylenol, acetaminophen!
DO NOT TAKE IBUPROFEN as it's causing deaths! 
Be safe! #StayStrong :flexed_biceps_light_skin_tone::heart:
@CDCgov @VP @realDonaldTrump #DrBirx",fauci,FAVOR,_,_,1245347113132679168
"@RealJamesWoods Yes, it's called a #Plandemic. #COVID19 #coronavirus",fauci,FAVOR,_,_,1245448070344646656
"@washingtonpost Of course, it’s the nutjob Trump supporters.  Soon, the Bernie nutjobs will start hating him, too.  Once they find out Fauci complimented HRC in 2013 their heads are going to explode. #impeachtrumpagain #neverbernie #coronavirus",fauci,FAVOR,_,_,1245519616614465537
@axios Threatened for telling the truth. An inconvenient truth. #trump #coronavirus #TrumpLiesMatter,fauci,FAVOR,_,_,1245539317293789184
"Wow, we as Palestinains thought israel was fucked up as they renact Hitler's Germany against Palestinians BUT mannnnn. Trump's #deporables are the new nazionist we were warned abt. #COVIDー19 #StayAtHome
#COVID19 #StayTheFHome &amp; #ShuttheFup",fauci,FAVOR,_,_,1245545461685137411
@lisamurkowski If you're really serious about Covid-19 then make Hydroxychloroquine available OVER THE COUNTER to all Americans. Available OTC in Africa. The stupidity in our gov. is mind boggling.,fauci,FAVOR,_,_,1245556354795704323
"@EricTrump - Networks that don't care what your father *thinks* his facebook popularity is? 
- Networks that don't want to incur the potential liability that Fox is now facing for down playing the #coronavirus?
- If we tune in, we ONLY tun in for",fauci,FAVOR,_,_,1245563698791489537
"@DonaldJTrumpJr @philkillerlain It's called teamwork if you look between the lines of just pure hate of a Political Party as such,who cares who's on TV and we can't see the Coronavirus, actually Dad needs to seek advice from Bush 2 and Obama + we want to see @SecElaineChao and @BetsyDeVosED and more",fauci,FAVOR,_,_,1245629126083350529
@realdonaldtrump you should strongly condemn the threats being made to Dr Fauci from far right groups. It’s ridiculous that he needs extra security. Do your job. Act presidential. #COVID19,fauci,FAVOR,_,_,1245694745243942913
"@MSNBC I honestly don't understand why anyone would want to hurt #DrFauci. He is the one man who tells us the truth, and warns us about what is coming. We'd be lost if not for his expertise. Stay safe Dr Fauci! We need you. #COVID19 #StayHome",fauci,FAVOR,_,_,1245728567964635138
@EricTrump Because @realDonaldTrump is NOT DOING ANYTHING BUT CAMPAIGNING We want #COVID19 updates from,fauci,FAVOR,_,_,1245738009028374529
"Pres Trump Q&amp;A: Does not say regrets using word ""hoax"" last night and says he was referring to politicians. Says Fauci ""was never muzzled."" Fauci adds he has not been muzzled. #Trump #coronavirus @anthonymace",fauci,FAVOR,_,_,1233834058704138244
"Absolutely not good enough. Why is there no mention of removing government/POTUS interference in #coronavirus ""messaging"" and the public's right to hear directly from our health experts?",fauci,FAVOR,_,_,1234514833887956997
@eliowa @IAPublicHealth Hodgepodge of state by state efforts  make no sense. The #coronavirus doesn’t respect borders. Make it nationwide.,fauci,FAVOR,_,_,1245948056798777349
"Kushner is in charge now? What happened to Pence being in charge? How does the VP feel about being dumped for his boss’s son-in-law? How long is that maniac in the Oval going to keep throwing shit at the wall hoping it sticks?
#KushnerIsAnIdiot #TrumpVirusCoverup #COVID19",fauci,FAVOR,_,_,1246107422344671232
"@WhiteHouse @realDonaldTrump JESUS is waking up many people to the #Coronavirus hysteria, much of the testing is false &amp; over priced, hospitals will continue putting out Corona virus death certificates for people who died from other illnesses. The fraud will continue this month.",fauci,FAVOR,_,_,1246188812817981440
"@freedomcaucus GET RID OF FAUCI 

Did you hear the latest, dr. doomsday Fauci is saying hydroxychloroquine needs more testing. Get rid of that SOB

What is this doctor a sadist? Seems like he likes Mayhem and  doesn’t want the drug to work

#CoronavirusPandemic #COVID19",fauci,FAVOR,_,_,1246205972365955078
#whereisfauci Please quit showing these #coronavirus briefings while dumb orange face is lying to the nation!  I wish every network would follow this practice so we could witness the real truth from,fauci,FAVOR,_,_,1246220655890182144
"#DrFauci on Jan 21st:  ""This is not a major threat for the citizens of the United States"" on the #WuhanVirus 

#Tucker
#TuckerCarlsonTonight
#CoronaVirus
#Covid_19 
#COVIDIDIOTS",fauci,FAVOR,_,_,1246229117181349888
If the  Dr Hillary Fauci told Americans to hop on one foot all at once for 5 minutes I bet millions of brainwashed people would. Again illustrating how rediculous it is believe anything from a guy that wants complete ruins of our economy while lying about coronavirus,fauci,FAVOR,_,_,1246253074425024513
"@MSNBC He doesn’t understand?! He was standing next to the ‘reason’ who was spitting out lies about this pandemic!!
Seriously! :man_facepalming_light_skin_tone:
#CoronaVirus",fauci,FAVOR,_,_,1246283458575400960
"@AngelWarrior321 @slavewar @realDonaldTrump open the economy back up starting April 13 and full by May, we need to do this.  The next 5 day will show a decline, unless  as reported many deaths listed are really not COVID-19 @OANN",fauci,FAVOR,_,_,1246386709316677632
@CBSNews @weijia This is shameful behavior by our #IMPOTUS #TrumpMeltdown #TrumpLiesPeopleDie #TrumpLiesAboutCoronavirus #TrumpCrimeFamily #KushnerForPrison2021 #KushnerIsAnIdiot #covid19 #coronavirus #MoronaVirus45 #WhereAreTheMasks #WhereAreTheTests #WhereAreTheVentilators #getusppe,fauci,FAVOR,_,_,1246396095682482177
"If the virus has been here for 3 mos and we have about 7,000 dead ...can anyone explain how the velocity of the exponential increase in the second 3 mos gets us to 150,000-240,000 when the 1st 3 mos of exponential growth got us to about 7,000? #coronavirus #COVID19",fauci,FAVOR,_,_,1246403231175106561
Can someone tell me why @CNN is complaining about the president's decision not to wear a face mask but all the reporters and news anchors are not wearing one... #COVID19 #TheRealDonaldJTrump #DrBirx,fauci,FAVOR,_,_,1246415678376153089
Dr. Fauci gave me a shout out and maybe possibly perhaps totally made fun of @VP @Mike_Pence #thepencesign #whitehousePressconference #WhiteHouseBriefing #CoronavirusPandemic #30DaysToSlowTheSpread #SocialDistancing #FlattenTheCurve,fauci,FAVOR,_,_,1246542887526862848
"Actually, Dr Fauci could resign in protest.  And until he does, he is simply complicit.  #Covid19",fauci,FAVOR,_,_,1246562840334434309
@britainelects @RaheemKassam That's all fake BS SOROS/Fauci #'s nonsense.  You can't calculate the fatality rate until you have enough antibody testing data.  Besides the reporting is crap Italy had to readjust their #COVID19 death #'s DOWN 90% #KungFluHoax2020,fauci,FAVOR,_,_,1247597088734576644
"@realDonaldTrump : Question : Have deaths in #CA #California , from causes OTHER than #COVID19 , increased in March and April, YOY? #Birx",fauci,FAVOR,_,_,1247668076721647617
"I wonder if the reported coronavirus disproportionate killing of more African-Americans in the USA, goes back to European and North African ancestors having survived the Great Bubonic Plague, possible DNA mutation, or slightly stronger antibodies? Just a thought. @CNN",fauci,FAVOR,_,_,1247670568415084549
I’ve read that more men than women are dying from the virus. I wonder how many of these men had beards or mustaches. Might facial hair be more likely to catch the droplets? Asking for a friend. #coronavirus,fauci,FAVOR,_,_,1247675559863353345
"@FoxNews Who cares what #Fauci thinks?! He's a fear-mongering, liberal who misled us repeatedly about the #coronavirus. The world can return to normal, if it's leaders will use some #CommonSense .",fauci,FAVOR,_,_,1247839541253345285
At this point I think our local weather person could come up with a better “model” for predicting coronavirus infection and death rate than Dr. Fauci!,fauci,FAVOR,_,_,1247905776816902146
@realDonaldTrump Those ratings are NOT for you! Ppl watch to hear the doctors/scientist you moron!? Or they watch to see the journalist call you out on questions you can’t or will not answer. Daily Coronavirus briefs should be from Dr Fauci.,fauci,FAVOR,_,_,1247906075006902272
"@paulsperry_ In fairness, Fauci has some parental rights:  he helped develop the ""novel"" HIV virus, whose genome was interwoven into the Covid-19 virus.",fauci,FAVOR,_,_,1247961355736559616
"When people start questioning about how Brix/Fauci count the corona deaths a certain way. Then they stand there and say, “don’t listen to those theories, there’s no time for it.” It tells me that we should be questioning more!! #coronavirus",fauci,FAVOR,_,_,1248046755545075712
"If a Vaccine for Covid19 created by @BillGates (his team of researchers &amp; scientist) is offered to the public or made mandatory, will you willingly take it or reject it?

#COVID #vaccine #BillGates #COVID19 #coronavirus #WHO #China #Hydroxychloroquine #ThursdayThoughts",fauci,FAVOR,_,_,1248061419452600321
@KeithStoyk @DiamondandSilk The media could always make up some more fake numbers and more celebrities catch it for you. I’ve had enough. #EndTheShutdown #endthelockdown #COVID19,fauci,FAVOR,_,_,1248105237359013890
Anyone know what the quarantine does to our immune systems? #COVIDー19 #coronavirus,fauci,FAVOR,_,_,1248134136247787521
"#fauci cautions use of #Hydroxychloroquine a drug that's been around for 60+ years with safety studies, yet is totally cool forcing a #COVID19 #vaccine on the world in 18months #bullshit",fauci,FAVOR,_,_,1248238163182718976
"Have you been observing good #SocialDistance?

#HealthcareHeroes #HealthCareWorkers #COVID2019 #CoronavirusPandemic #CoronavirusUSA #SocialDistanacing #SocialDistancingNow #StayAtHomeOrder #StayHomeSaveLives #DrBirx",fauci,FAVOR,_,_,1246598534650085378
"If you're not prepared for the exam, and you will just be copying, copy the one who succeeded,  not the one who failed. South Korea, no lockdowns, A+. Italy, with lockdowns, F. And USA copied Italy. Because Fauci's projection matched Italy's. #Coronavirus",fauci,FAVOR,_,_,1246725907076673537
"@yashar Dear @drdrew please leave the corona virus information to Dr. Fauci and Dr. Sanjay Gupta, and stick to Loveline.",fauci,FAVOR,_,_,1246728079621238784
Fauci on Face The Nation. Scary stuff. #coronavirus,fauci,FAVOR,_,_,1246810014871965699
"The only coronavirus briefings I listen to daily are @NYGovCuomo and @GovMikeDeWine. One is a Democrat one  is Republican and I believe they both care about their constituents, I can't say that about @realDonaldTrump aka @POTUS  #AMJoy #StayAtHome  #FlattenTheCurve",fauci,FAVOR,_,_,1246827085265612807
@RealJamesWoods Why do we still support the @WHO and the @CDCgov and Dr. Fauci when they have continually lied to us for months!  #nohumantohumantransmission #dontneedmasks #notatjreatrotheus #CoronavirusPandemic #coronavirus,fauci,FAVOR,_,_,1246857594574188548
Does anyone else get the feeling that there is serious information about this disease out there that the Government is not telling us? #coronavirus #CoronaVirusUpdates #Covid_19,fauci,FAVOR,_,_,1246868587945422848
@beingfrancake It's not all Trump supporters you one track brain conductor. #coronavirus,fauci,FAVOR,_,_,1246907527931052034
To the people who believe 5G is causing the virus how do you explain the dozens of countries that don’t have 5G that have #CoronaVirus also you are all a bunch of dits!  This hashtag is a joke like all of you!,fauci,FAVOR,_,_,1246924728935182336
I wish we would fire the surgeon general and leave Dr Fauci alone! #CoronaAlert #CoronavirusUSA #SurgeonGeneral,fauci,FAVOR,_,_,1246926558603833345
New York sucking on the Federal Government’s teet for supplies they should have acquired years ago! Trump saving their butts with the countries taxpayer dollars. #COVID19 #COVID2019 #CoronavirusPandemic #newyorklockdown #Covid_19 #China #Ozark,fauci,FAVOR,_,_,1246934287917576192
The Elect 2020 Trump Nazi Rally was postponed because Trump had an important golf game. It wasn't because he was doing anything Presidential during the Pandemic. Expect Trump to tell more Covid-19 lies that will hopefully kill off his Deplorables. #TrumpIsALoser Do Not,fauci,FAVOR,_,_,1246934979931713538
"@TuckerCarlson So far Dr. Fauci’s models are accurate. The flu does kill 20,000 Americans-yearly. In a matter of only a few weeks #COVID19 has killed 1/2 as many. Historically, the prophets were killed by their own people for speaking the truth.",fauci,FAVOR,_,_,1246938334821261312
"The people that #Trump fires or humiliates should form a club &amp; call it #TeamIntegrity or #OathsAreForKeepsies :joy:

Because we know #MAGASTAYSSTUPID &amp; #Trumpisaloser 

#70days #coronavirus #Covid_19 #PalmSunday2020 #TrumpMadness #TrumpPlague2020 #TrumpLiesPeopleDie",fauci,FAVOR,_,_,1246941921332756480
Can we please let @seanhannity run the coronavirus stuff.,fauci,FAVOR,_,_,1246942269414019072
Fauci doesn't want HYDRO to work because $20 a dose compared to a BIG PHARMA drug of $300 a dose cuts into his kickbacks! @DonaldJTrumpJr @realDonaldTrump @MAGA @KAG @NRA @RNC @DNC @FoxNews @cnn @NBC @MSNBC #TrumpTrain2020 #ProLife #Congress2020 #FakeNews #COVID19 #CoVFeFe,fauci,FAVOR,_,_,1246958119814664194
A real investigation that needs to happen is who allowed &amp; why did all our pharmaceuticals go to CHINA? @DonaldJTrumpJr @realDonaldTrump @MAGA @KAG @NRA @RNC @DNC @FoxNews @cnn @NBC @MSNBC #TrumpTrain2020 #ProLife @SpeakerPelosi #Congress2020 #FakeNews  #COVID19 #CoVFeFe,fauci,FAVOR,_,_,1246959114334371841
"@XLoseABobbyPin @TraceySchulz @va_shiva This idiot Shiva is saying just die already from coronavirus. Why? Cause he probably got it already and recovered. So now he doesn't care if anyone else dies. 

Also, Trump's people probably paid him to say crap. #COVIDIOT #DrFauci",fauci,FAVOR,_,_,1246962843104116736
"The #HysteriaCult TOTALITARIANS (aka the anti-Trump CULT) and their #FakeMedia PROPAGANDISTS 

are WORSE than the #Coronavirus 

#ReopenAmerica while America still exists",fauci,FAVOR,_,_,1246972393425420288
"I called someone a ""dog-faced lyin pony soldier"" and @Twitter suspended my account, yet many registered people are quoting inaccurate and harmful information about #Covid19 and have 0 consequences.  Twitter suppresses the little guys freedom of speech.",fauci,FAVOR,_,_,1246980147846057984
"Fauci is the ONLY ONE that has been fighting for a common sense response to COVID-19 while trying to advise that IDIOT who is pretending to be the President. Trump and his minions, through their negligence, are directly responsible for the deaths of Americans",fauci,FAVOR,_,_,1246983707317207044
Why should the only man with actual scientific knowledge and a reasonable sense of duty to make sure that the American people get the correct info about COVID-19 be fired? Trump is the one that's made grandiose claims that could/has put people's lives at risk.,fauci,FAVOR,_,_,1247004735116324867
"If #coronavirus replicates itself, why are we not using a drug that interferes with how the viruses replicate inside cells, Antibiotics have no affect on virus its use is for bacteria infection, use drugs that stop replication of cells, @HouseDemocrats 
@SenateDems",fauci,FAVOR,_,_,1247064156911677442
Imagine if Dr. Fauci didn’t step up.  Thank God for Fauci.   #BelieveFauci #COVID19  #USA,fauci,FAVOR,_,_,1247139167169122305
"He needs to go 
Trying to deny much needed drug that can help with the coronavirus ? 
Waiting for Big Pharma to push a new drug costing thousands of $ so they can make billions ? This is their goal to make money and push vaccines",fauci,FAVOR,_,_,1247158833593622528
Anyone has video of the Fauci Navarro clash? #COVID19 #COVIDー19 #Hydroxychloroquine #treatment #navarro,fauci,FAVOR,_,_,1247166694050500609
Next flu season I want the @POTUS and #CDC to come on every day and report how many in the country were admitted to the hospital with influenza. I want all deaths to the flu tracked and graphed. Especially NY. Then tell us if we should shut the economy down. #coronavirus,fauci,FAVOR,_,_,1247171387808194560
"To all released criminals, my judge &amp; jury is sitting on my lap! @DonaldJTrumpJr @realDonaldTrump @MAGA @KAG @NRA @RNC @DNC @FoxNews @cnn @NBC @MSNBC #TrumpTrain2020 #ProLife #Congress2020 #FakeNews #COVID19 #CoVFeFe",fauci,FAVOR,_,_,1247214148053864449
Why do you think DemocRATs hate America? Because they can't compete with Trumpsters at any level! @DonaldJTrumpJr @realDonaldTrump @MAGA @KAG @NRA @RNC @DNC @FoxNews @cnn @NBC @MSNBC #TrumpTrain2020 #ProLife #Congress2020 #FakeNews #COVID19 #CoVFeFe,fauci,FAVOR,_,_,1247219051174166529
"@MarkSteynOnline  @limbaugh, @seanhannity #RightWingRadio are #Covid19 #criminals for attacking",fauci,FAVOR,_,_,1247219651479814144
Is it too late for Dr.Fauci 2020? #COVID19,fauci,FAVOR,_,_,1247222561928286209
Fauci just admitted there is no “back to normal” unless we have a way of “protecting everyone” and mentions “until we have a vaccine”.  This motherfucker is saying he wants a shutdown for another 12-18 months. This dude needs to be replaced ASAP! #COVID19 #truth,fauci,FAVOR,_,_,1247288333841170433
"Jon Karl expressing doubt (to Fauci) that country can really get back to normal without a vaccine. 

""You're absolutely right"" Fauci said, echoing Bill Gates that we might NEVER get back to pre-Coronavirus society. Fauci again pushes Vaccine with FEAR",fauci,FAVOR,_,_,1247288514342944770
"If Dr. Fauci had one ounce of political ambition in his bones, he'd be an incredible President. Thankfully, he only seems to care about stopping epidemics and devoting all of his time to saving lives. My hero and surrogate Grandpa. 
#COVID19 #PandemicCovid19",fauci,FAVOR,_,_,1247313776627658754
I have nightmares about how tight authoritarianism could constrict society in the name of public health and safety. #coronavirus #covid,fauci,FAVOR,_,_,1247340153833582592
listen to your generals! AKA your Public Health Officials. not random advisers  #COVID19,fauci,FAVOR,_,_,1247347003350118400
"@kalpenn PhD ..yah you know me lolo
#DrBiden #COVID19 #StayAtHome",fauci,FAVOR,_,_,1247354259286392835
Pre-coronavirus is gonna be a term we use all the time.   #precoronavirus #literallyviral,fauci,FAVOR,_,_,1247360064882479104
"@thehill American’s have been the guinea pigs for awhile! Lets send Peter to NYC hospital so he can use his PHD and prepare a statistical chart, if he gets Coronavirus so what Peter is 70+; Expendable Family &amp; friends wont miss and old man. We just say bye before he departs.",fauci,FAVOR,_,_,1247415266700558336
"@carifike @Beautyon_ If #hydroxychloriquine , #VitaminC intravenous + other effective treatments are practiced early for #COVID19 patients + mass PPE usage - the whole world economy may not need to be shut down waiting for a #vaccine to “SAVE” us all . #BillGatesVirus",fauci,FAVOR,_,_,1247506848384790534
@Milbank The CCP and the WHO should top every list of blame.  #COVID19Pandemic #coronavirus,fauci,FAVOR,_,_,1247537625705017349
"So #Trump needed ""GRAPHICS"" in order to understand #coronavirus -- but he still thinks a #vaccine is closer than a year away. Someone show him how a calendar works, with pictures if possible.",fauci,FAVOR,_,_,1234950055351607296
"Alex Azar is excitedly saying Fauci created a potential vaccine drug in the last 3 days and its being sent for Phase 1 clinical trials

It takes many months to over a year for any trial testing to be carried out

Desperate coordination to convince

#coronavirus #COVID19",fauci,FAVOR,_,_,1234950616872517632
"VP Pence Q&amp;A: Have no concerns ""at all"" flying to Seattle. State has been doing good job. NIH's Fauci: Any declaration of a national emergency would need ""clear, wide"" spread. #coronavirus #Pence @anthonymace",fauci,FAVOR,_,_,1235338811158278146
Can someone explain to me why the president @POTUS wouldn’t want to be tested for the #coronavirus #Covid_19 ? Why are the @WhiteHouse doctors NOT recommending the @POTUS @realDonaldTrump get tested? What is the downside of being tested?,fauci,FAVOR,_,_,1238315533780553730
"NIH's Fauci: Impossible to predict how long emergency lasts. Trying to ""blunt that peak"" of infections. These kinds of things generally run out in months. Hoping for weeks. Can't tell. #Trump #coronavirus @anthonymace",fauci,FAVOR,_,_,1238560451774025728
"@realDonaldTrump Where is Dr. Fauci's medal of freedom? That man TRULY deserves it after all he's done to help the country move through this crises.
#COVID19 #coronavirus #POTUS #TrumpPressConference #Trump",fauci,FAVOR,_,_,1238591791797960704
"@BarbraStreisand @AnthonyFauci_ Dr. Fauci is the ONLY Trump Official Americans can TRUST to give us correct information during this Coronavirus pandemic! The question will be, when will Trump fire Dr. Fauci if his truth telling offends Trump! #TrumpLiesAboutCoronavirus #TrumpMustResign @BarbraStreisand",fauci,FAVOR,_,_,1238868174998835213
"@CNN Dr Fauci ROCKS - And most importantly, is saving lives with speaking truth 
#TruthMatters 
#COVID 
#science
#CDC 
#CoronaVirusUpdate 
#CoronavirusOutbreak 
#corona
#CoronavirusPandemic
#COVID19",fauci,FAVOR,_,_,1239009821107662848
"Dr Fauci is the only person who should be allowed to speak on behalf of this administration.  No one else.  Especially the “technical” top 2 
#COVID19",fauci,FAVOR,_,_,1239222132841877505
"How about all of us who didn’t vote for the Orange idiot in the White House stay in the house and since he’s telling his supporters that the virus is under control, let all of them go out and let’s see what happens! #coronapocolypse #coronavirus",fauci,FAVOR,_,_,1239333806059868160
@chrisbergPOVNOW @drscottjensen @mnhealth Dr Fauci was on Today and said that no one is listing deaths as COVID-19  if that was not the actual cause. He said those were conspiracy theories.,fauci,FAVOR,_,_,1248311936690933763
"@IngrahamAngle No surprise you are criticizing the one apolitical, candid &amp; qualified Coronavirus representative that continue to prove all your asinine claims that this was a Democratic hoax.",fauci,FAVOR,_,_,1248323207104540673
"@PolishPatriotTM So bottom line: If they even smell like they have Corona beer on their breath, it’s blamed on Corona Virus and that will be how the books are cooked. Great work! :thumbsup: #FireBirx",fauci,FAVOR,_,_,1248339403979649024
"@RealCandaceO And half of those numbers are false...
When and if they are ever looked into...it will be known that they actually died from complications of other chronic illnesses.
The hype was always a hoax!
#coronavirus",fauci,FAVOR,_,_,1248469675245068291
"Vice President Mike Pence’s office is barring top public health officials from appearing on CNN until the news network agrees to air the White House’s daily coronavirus briefings in their entirety, CNN reported. #corona #covid",fauci,FAVOR,_,_,1248585844904075264
@mitchellvii Thanks for this. Its been while since you tweeted about #COVID19  or,fauci,FAVOR,_,_,1248705438453043202
"@realDonaldTrump The main enemy is not the corona virus.
#BillGatesVirus",fauci,FAVOR,_,_,1248717253459075072
"@realDonaldTrump , *covid-19 is a VIRUS.  *ANTIBIOTICS ARE FOR BACTERIAL INFECTIONS!  *Therefore, antibiotics would never help with coronaVIRUS
PS. LISTEN TO",fauci,FAVOR,_,_,1248768659956195328
Who programmed the Coronavirus to be racist and sexist? It had to be an old rich white man. #BillGates,fauci,FAVOR,_,_,1248798552370712576
"@realDonaldTrump With all due respect, it doesn't work that way.  Tell Americans that and those that believe you will bring the ""Invisible Enemy"" back to the front lines and kill tens of thousands more. #WashYourHands #SocialDistancing #smartscience",fauci,FAVOR,_,_,1248816398324903936
@BlazeTV Looks like people unfortunately do not understand the meaning of exponential (pandemic) distribution. That´s why numbers in US are still going up that much i think. Anyway denouncing is evil  and Paranoia is not the solution. #SocialDistancing,fauci,FAVOR,_,_,1248845338053574658
@DailyCaller Wonder how many Americans realize on January 21st he said the #coronavirus wasn’t a major threat to the United States...,fauci,FAVOR,_,_,1248926578857381888
"In April 2020, “anecdotal” evidence is the new “actual” data.

#Cuomo #Hydroxychloroquine #Model #TDS #OrangeManBad #coronavirus #COVID19 #AcademicWork #Birx",fauci,FAVOR,_,_,1248939215771045895
CNN: Maylaysia Flight 370 victims..all 227 ruled as #coronavirus deaths.. #CoronavirusUSA #CoronavirusPandemic #coronapocalypse #CoronaHoax,fauci,FAVOR,_,_,1248960783482003457
"Spice up the lockdown:
- Turn it into a #Staycation
- Clean the house
- Mow the lawn
- Turn off the sprinkler #Aprilshowers
- Get to know your kids
- Get to know your spouse/mate
- Learn a new skill
- Try out new recipes 
- Work out
#stimuluscheck #COVID19 #StayatHome",fauci,FAVOR,_,_,1248988469617201153
"How many Acts of Bad Faith or Hoaxes does it take to screw in a Demn lightbulb? Please advise. 

#coronavirus
#COVIDー19
#COVID 
#TrumpPressConference",fauci,FAVOR,_,_,1248997457448579072
"@thehill The discrediting begins, and thus signals the start of the end of a multi-decade career, and we move into open disregard for science in the #coronavirus response from #TrumpUnfit",fauci,FAVOR,_,_,1249061328238661635
@thehill Yes. Telling the truth to American public about government's plan to stop the Coronavirus  can hurt @realDonaldTrump 's re election.,fauci,FAVOR,_,_,1249065811840569344
"@nypost Let every ProVax advocate out there step up, roll up their sleeves, be our guinea pigs &amp; while ur at it get the full 80 dose childhood  vax schedule or STFU. 

#COVID19 #COVIDー19 #COVIDIOTS #BillGatesIsEvil",fauci,FAVOR,_,_,1249154892586987520
"What changed this week? Bill Gates realized that he won't be able to develop the vaccine quickly enough for the angrier than expected quarantined public.

#pandemic 
#Covid19
#BillGates",fauci,FAVOR,_,_,1249166722336280578
Dr. Anthony Fauci isn’t the problem. How can anyone think he’s causing harm? Let me rephrase it this way. How can any Republican believe that he’s causing more harm than good? Come on folks! He’s doing an excellent job. #COVID19,fauci,FAVOR,_,_,1249181708999634944
"Dr. Fauci is a #DeepState clown.
#coronavirus",fauci,FAVOR,_,_,1249277432655499264
